Country Name,2021,2020,2019,2018,2017
Luxembourg,135683,116356,113219,117255,110193
Bermuda,110869,107706,116153,113051,111821
Ireland,99152,85423,80887,79108,69774
Switzerland,93457,87100,85335,86388,83352
Norway,89203,67330,75720,82268,75497
Singapore,72794,60729,65831,66859,61151
United States,69288,63028,65095,62805,59915
Iceland,68384,59264,68941,74470,72010
Denmark,67803,61063,59776,61592,57610
Qatar,61276,50124,62088,65908,59125
Sweden,60239,52300,51939,54589,53792
Australia,59934,51680,54875,57181,53934
Netherlands,58061,52396,52476,53045,48675
Finland,53983,49161,48629,49989,46412
Austria,53268,48589,50114,51487,47429
Canada,52051,43258,46329,46549,45129
Belgium,51768,45189,46599,47549,44198
Israel,51430,44178,43951,42063,40774
Germany,50802,46253,46795,47974,44653
Hong Kong,49661,46101,48356,48538,46160
New Zealand,48802,41597,42865,43250,42925
United Kingdom,47334,41098,43070,43647,40858
Macao,45422,39403,86197,87526,81019
France,43519,39037,40579,41593,38781
Andorra,43048,37417,40898,41793,38965
Japan,39285,39918,40458,39727,38834
Italy,35551,31835,33673,34622,32407
South Korea,34758,31598,31902,33437,31617
Malta,33257,28946,31186,31573,28857
Brunei,31723,27443,31086,31628,28572
Cyprus,30798,27682,29206,29334,26609
Spain,30116,27056,29554,30365,28170
Slovenia,29201,25490,25943,26117,23514
Bahamas,28239,24665,33872,33077,32371
Estonia,27281,23054,23398,23064,20438
Czech Republic,26379,22933,23660,23420,20636
Portugal,24262,22195,23331,23563,21490
Turks And Caicos Islands,24047,23880,31351,29553,27545
Saudi Arabia,23586,20204,23451,24229,20802
Lithuania,23433,20232,19576,19186,16885
Bahrain,22232,20407,23552,24086,23743
Slovak Republic,21088,19267,19304,19390,17538
Latvia,20642,17704,17927,17865,15695
Greece,20277,17647,19134,19757,18582
Hungary,18773,16076,16736,16427,14624
St. Kitts And Nevis,18230,18441,22048,20567,20383
Poland,17841,15742,15732,15468,13865
Croatia,17399,14132,15312,15228,13629
Barbados,17034,16319,18480,17783,17404
Uruguay,17021,15419,17688,18704,18691
Chile,16503,13221,14699,15772,14963
Oman,16439,14485,17701,18947,17329
Trinidad And Tobago,15243,15286,17123,17139,16748
Antigua And Barbuda,14901,13993,17377,16680,15384
Romania,14862,12957,12899,12399,10807
Panama,14516,12510,15774,15545,15146
Seychelles,13307,12194,17252,16911,16417
China,12556,10409,10144,9905,8817
Costa Rica,12509,12202,12762,12485,12226
Nauru,12252,10580,11030,11615,10339
Russia,12173,10162,11536,11287,10720
Bulgaria,11635,10079,9879,9447,8366
Malaysia,11371,10412,11433,11380,10259
Argentina,10729,8586,10076,11795,14613
Kazakhstan,10041,9122,9813,9813,9248
Grenada,9929,9273,10834,10467,10153
Mexico,9926,8432,9950,9687,9288
Turkey,9587,8536,9122,9454,10590
St. Lucia,9571,8805,11591,11354,11035
Guyana,9375,6956,6610,6146,6125
Montenegro,9367,7695,8910,8850,7803
Serbia,9215,7731,7417,7252,6293
Maldives,8995,6924,10562,10279,9577
Mauritius,8812,8633,11097,11208,10485
Dominican Republic,8604,7268,8282,8051,7609
Equatorial Guinea,8462,7198,8381,10006,9668
Gabon,8017,6882,7767,7959,7230
St. Vincent And The Grenadines,7997,7861,8230,8024,7718
Dominica,7560,7004,8516,7745,7299
Brazil,7519,6815,8876,9151,9929
Botswana,7348,6349,7247,7504,7296
Belarus,7304,6555,6838,6360,5786
Thailand,7233,7159,7814,7299,6594
South Africa,6994,5656,6625,7005,6691
Bosnia,6916,6082,6120,6070,5394
North Macedonia,6721,5846,6070,6109,5450
Peru,6692,6117,7023,6958,6711
Albania,6494,5332,5396,5288,4531
Colombia,6131,5312,6419,6730,6377
Libya,6018,7614,10218,11482,10205
Ecuador,5935,5628,6223,6296,6214
Paraguay,5400,4968,5384,5783,5679
Azerbaijan,5384,4230,4806,4740,4147
Moldova,5315,4526,4492,4231,3510
Tuvalu,5291,4669,4652,4156,3979
Fiji,5086,5103,6176,6317,6101
Iraq,5048,4584,5943,5916,4985
Georgia,5042,4256,4696,4722,4357
Guatemala,5026,4603,4639,4478,4454
Kosovo,4987,4311,4416,4384,4009
Suriname,4836,4917,6854,6938,6296
Ukraine,4836,3752,3661,3097,2638
Namibia,4729,4157,5028,5588,5367
Armenia,4670,4266,4605,4221,3915
Jamaica,4587,4665,5369,5360,5070
Mongolia,4535,4061,4405,4157,3687
Belize,4420,3988,4983,4927,4910
El Salvador,4409,3799,4168,4053,3910
Jordan,4406,4283,4405,4308,4232
Indonesia,4292,3871,4135,3894,3838
Eswatini,4215,3435,3890,4107,3914
Marshall Islands,4171,4130,4073,3794,3673
Samoa,3939,4068,4323,4188,4259
Tunisia,3924,3597,3572,3691,3688
Egypt,3876,3569,3019,2537,2444
Sri Lanka,3815,3694,3848,4059,4077
Algeria,3765,3307,3990,4142,4110
Vietnam,3694,3526,3425,3231,2974
West Bank And Gaza,3664,3234,3657,3562,3620
Philippines,3549,3301,3485,3252,3123
Morocco,3497,3059,3235,3227,3035
Micronesia,3477,3543,3624,3568,3290
Cabo Verde,3446,3064,3604,3616,3293
Bolivia,3415,3138,3552,3549,3351
Djibouti,3364,3220,3173,3038,2926
Vanuatu,3127,2920,3123,3125,3083
Papua New Guinea,2916,2757,2820,2801,2695
Honduras,2831,2406,2574,2510,2454
Lebanon,2670,3802,7527,8004,7776
Lao PDR,2551,2609,2614,2569,2455
Bangladesh,2503,2270,2154,1991,1840
Sao Tome And Principe,2449,2158,1988,1954,1814
Ghana,2445,2254,2247,2261,2074
Solomon Islands,2337,2251,2344,2412,2333
India,2277,1933,2072,1998,1981
Republic Of Congo,2214,1900,2370,2607,2171
Angola,2138,1631,2178,2525,2313
Nicaragua,2091,1900,1924,2015,2159
Nigeria,2085,2097,2230,2028,1969
Kenya,2007,1872,1909,1794,1633
Uzbekistan,1983,1750,1784,1597,1917
Haiti,1815,1272,1313,1479,1369
Zimbabwe,1737,1215,1317,1255,1235
Mauritania,1723,1702,1743,1670,1588
Cameroon,1662,1537,1533,1585,1469
Senegal,1606,1463,1436,1458,1362
Cambodia,1591,1548,1643,1512,1385
Pakistan,1538,1360,1482,1678,1632
Comoros,1495,1407,1404,1428,1324
Timor-Leste,1458,1443,1584,1249,1299
Benin,1428,1291,1220,1242,1137
Kyrgyz Republic,1276,1183,1374,1308,1243
Nepal,1223,1147,1195,1179,1048
Myanmar,1187,1451,1271,1250,1151
Guinea,1174,1079,1053,955,856
Lesotho,1166,1051,1153,1192,1103
Tanzania,1136,1076,1086,1043,1005
Zambia,1121,985,1305,1516,1535
Togo,992,915,893,902,831
Ethiopia,944,936,856,772,769
Burkina Faso,918,858,796,805,735
Mali,918,862,879,895,830
Tajikistan,897,853,891,853,849
Uganda,858,822,799,771,747
Gambia,836,757,773,733,680
Rwanda,834,786,820,784,772
Guinea-Bissau,813,728,749,803,739
Sudan,764,615,755,774,3178
Chad,696,652,710,726,666
Yemen,691,632,751,758,964
Liberia,673,601,672,710,721
Malawi,643,636,592,545,506
Niger,595,568,554,571,518
Democratic Republic Of Congo,584,544,597,566,467
Sierra Leone,516,509,522,534,497
Madagascar,515,478,526,518,515
Central African Republic,511,482,468,476,451
Mozambique,500,449,507,503,461
Somalia,446,438,419,390,384
Burundi,237,234,224,238,251
Aruba,0,23384,31136,30254,29348
Faroe Islands,0,66321,67154,65573,61455
New Caledonia,0,34695,34789,36382,33977
French Polynesia,0,20183,21512,22095,21127
Tonga,0,4625,4903,4741,4513
Afghanistan,0,517,494,486,517
Cuba,0,9478,9126,8824,8541
Sint Maarten (Dutch Part),0,0,0,28988,29369
Isle Of Man,0,0,86482,89113,83478
San Marino,0,45516,47727,48997,45399
Curacao,0,16110,19024,18956,18789
Greenland,0,54570,53256,54545,50767
Monaco,0,173688,189487,185979,167517
Cayman Islands,0,85347,91513,86181,81513
Palau,0,14244,15232,15895,16020
Syrian Arab Republic,0,0,0,1266,956
Northern Mariana Islands,0,0,20660,22887,27585
Virgin Islands (U.S.),0,39552,38596,36654,35365
Guam,0,34624,38041,36557,36602
Liechtenstein,0,0,169049,176499,171254
Iran,0,2757,3514,4046,6032
UAE,0,36285,42701,43839,40645
Kiribati,0,1515,1513,1694,1649
Puerto Rico,0,31430,32851,31605,31109
Bhutan,0,3001,3323,3243,3287
American Samoa,0,12845,11715,11522,11004
Kuwait,0,24812,32373,33399,29759
Turkmenistan,0,0,7612,6967,6587
