"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,"Tests/ 
1M pop",Population
USA,96626337,,1072946,,"92,494,183",,"3,059,208",3713,,,1102830809,,
India,44460483,,527991,,"43,873,430",,"59,062",698,31544,375,887151961,629427,1409458588
France,34592737,,154189,,"34,079,816",,"358,732",869,527433,2351,271490188,4139392,65586967
Brazil,34517770,,684427,,"33,502,447",,"330,896",8318,159923,3171,63776166,295480,215839289
Germany,32247828,,147762,,"31,378,400",,"721,666",1406,382240,1751,122332384,1450031,84365377
S. Korea,23606740,37548,27149,56,"21,834,203","178,401","1,745,388",562,459589,529,15804065,307682,51364934
UK,23521792,,188242,,"23,232,131","8,012","101,419",146,342583,2742,522526476,7610343,68660041
Italy,21938269,,175832,,"21,159,271",,"603,166",190,364006,2917,242997209,4031882,60268924
Russia,19729423,,384711,,"18,746,698",,"598,014",2300,135068,2634,273400000,1871702,146070251
Japan,19345212,,40829,,"17,620,230",,"1,684,153",523,153978,325,72429316,576499,125636475
Turkey,16751868,,100631,,N/A,N/A,N/A,975,194091,1166,162743369,1885584,86309287
Spain,13352019,,112804,,"13,128,337",,"110,878",339,285336,2411,471036328,10066153,46794075
Vietnam,11418894,,43120,,"10,211,563",,"1,164,211",89,115064,435,85826548,864840,99239846
Australia,10070868,4139,14073,6,"9,945,158",,"111,637",89,385234,538,78590386,3006263,26142215
Argentina,9678225,,129711,,"9,499,559","4,456","48,955",456,209958,2814,35716069,774818,46096093
Netherlands,8388688,,22605,,"8,327,160","2,475","38,923",33,487229,1313,21107399,1225952,17217152
Iran,7533087,,143995,,"7,307,292",,"81,800",867,87262,1668,53730223,622403,86327006
Mexico,7041181,990,329622,5,"6,298,349","3,554","413,210",4798,53393,2500,18215566,138129,131873576
Indonesia,6372542,,157647,,"6,173,081",,"41,814",2771,22775,563,106959748,382268,279802763
Colombia,6302809,,141646,,"6,128,460",,"32,703",342,121067,2721,36358694,698396,52060296
Poland,6187450,,117153,,"5,335,960",,"734,337",2782,163877,3103,36996380,979863,37756671
Taiwan,5442981,,10063,,"4,894,519",,"538,399",,227641,421,24533753,1026074,23910325
Portugal,5425891,,24865,,"5,334,423","1,476","66,603",61,535509,2454,44633269,4405089,10132207
Ukraine,5056378,,108841,,"4,926,210",777,"21,327",177,117144,2522,19521252,452259,43163860
Austria,4924440,,19442,,"4,843,228",,"61,770",61,540082,2132,195742096,21467796,9117941
Malaysia,4791456,,36245,,"4,726,250",,"28,961",73,144033,1090,63860593,1919678,33266312
DPRK,4772813,,74,,"4,772,739",,0,,183400,3,,,26024022
Greece,4762827,,32552,,"4,693,987","7,257","36,288",115,461845,3157,91707649,8892765,10312614
Thailand,4659902,1360,32425,22,"4,612,062","2,106","15,415",1496,66399,462,17270775,246092,70180090
Israel,4636301,,11620,,"4,615,261",,"9,420",266,497137,1246,41373364,4436346,9326000
Chile,4532562,,60610,,"4,447,517",,"24,435",139,232768,3113,44200455,2269901,19472417
Belgium,4488054,,32534,,"4,410,182","2,778","45,338",59,383624,2781,35314986,3018608,11699098
Canada,4179337,,44085,,"4,047,843","3,600","87,409",257,108666,1146,64423248,1675049,38460522
Peru,4113567,,215859,,"3,860,051",,"37,657",207,121097,6355,34446855,1014066,33969054
Czechia,4046577,,40848,,"3,992,624",,"13,105",26,376352,3799,55988207,5207190,10752096
Switzerland,4025870,,14148,,"3,952,248","3,104","59,474",46,457901,1609,22103405,2514033,8792012
South Africa,4012812,,102108,,"3,904,513",,"6,191",192,65857,1676,26168861,429475,60932142
Philippines,3891418,,62011,,"3,805,340",,"24,067",681,34514,550,32316415,286626,112747616
Romania,3227188,,66772,,"3,118,158",,"42,258",178,170216,3522,24717166,1303693,18959346
Denmark,3092974,,6936,,"3,076,955",,"9,083",6,529939,1188,128213105,21967570,5836472
Sweden,2569152,,19873,,"2,528,039","1,065","21,240",15,250993,1941,18865773,1843088,10235958
Iraq,2457871,,25346,,"2,429,962",,"2,563",21,58268,601,19212734,455469,42182323
Serbia,2294006,,16737,,"2,208,645",,"68,624",28,264865,1932,10716736,1237352,8661023
Hungary,2048547,,47291,,"1,962,698",,"38,558",23,213232,4922,11394556,1186052,9607132
Bangladesh,2012761,,29328,,"1,957,271",,"26,162",1331,11963,174,14766498,87765,168251346
Singapore,1846094,,1594,,"1,769,386",,"75,114",9,310256,268,24345019,4091448,5950221
Slovakia,1835277,,20363,,"1,810,689",,"4,225",22,335800,3726,7271661,1330495,5465381
New Zealand,1749139,1400,2779,4,"1,734,023","1,693","12,337",,349681,556,7492531,1497877,5002100
Georgia,1735682,,16889,,"1,637,293",,"81,500",,436919,4251,16920079,4259246,3972553
Jordan,1735495,,14110,,"1,718,032",,"3,353",59,166506,1354,17128152,1643299,10423028
Ireland,1656956,,7798,,"1,640,896",,"8,262",7,327622,1542,12642038,2499646,5057531
Hong Kong,1582399,,9724,,"1,339,636",,"233,039",18,207419,1275,54352132,7124397,7629015
Pakistan,1570016,,30591,,"1,530,962",,"8,463",114,6820,133,30178771,131095,230205218
Norway,1460431,,3980,,"1,454,916",,"1,535",20,264894,722,11002430,1995630,5513262
Kazakhstan,1389547,,13684,,"1,358,340",,"17,523",24,72131,710,11575012,600853,19264312
Finland,1266917,,5690,,"1,235,366","2,182","25,861",21,227887,1023,11394153,2049530,5559399
Morocco,1264549,,16274,,"1,247,943",,332,293,33400,430,12475527,329514,37860374
Bulgaria,1244733,,37613,,"1,195,120",,"12,000",44,182112,5503,10448658,1528698,6835003
Lithuania,1220822,,9292,,"1,191,547",,"19,983",7,462441,3520,10119547,3833234,2639950
Croatia,1216429,,16739,,"1,194,714",,"4,976",12,300327,4133,5150402,1271593,4050355
