Country Name,2021,2020,2019,2018,2017
Libya,0.3137,-0.2393,-0.112,0.0794,0.3249
Maldives,0.3096,-0.335,0.0688,0.0812,0.0721
Guyana,0.1993,0.4348,0.0535,0.0444,0.0373
Macao,0.1799,-0.5401,-0.0251,0.0646,0.0998
Panama,0.1534,-0.1794,0.0298,0.0369,0.0559
Moldova,0.1394,-0.0738,0.0368,0.043,0.0469
Bahamas,0.1372,-0.2382,0.019,0.0183,0.0305
Ireland,0.1348,0.0587,0.0492,0.0903,0.0894
Peru,0.1335,-0.1095,0.0224,0.0397,0.0252
Honduras,0.1253,-0.0896,0.0265,0.0385,0.0484
Montenegro,0.1243,-0.1531,0.0406,0.0508,0.0472
Dominican Republic,0.1227,-0.0672,0.0505,0.0698,0.0467
Chile,0.1167,-0.0598,0.0077,0.0399,0.0136
Botswana,0.1136,-0.0873,0.0335,0.0398,0.04
Turkey,0.1099,0.0179,0.0089,0.0298,0.075
Rwanda,0.1088,-0.0336,0.0946,0.0858,0.0398
El Salvador,0.108,-0.0858,0.0238,0.0243,0.0225
Colombia,0.1056,-0.0705,0.0319,0.0256,0.0136
Croatia,0.1045,-0.081,0.0348,0.029,0.0341
Georgia,0.1036,-0.0676,0.0498,0.0484,0.0484
Nicaragua,0.1034,-0.0179,-0.0378,-0.0336,0.0463
Argentina,0.1026,-0.099,-0.0203,-0.0262,0.0282
Belize,0.0975,-0.1675,0.0197,0.0204,0.0213
Malta,0.0941,-0.0835,0.0586,0.0603,0.1108
Tajikistan,0.092,0.044,0.074,0.076,0.071
Kosovo,0.0913,-0.0534,0.0476,0.0341,0.0483
Andorra,0.0895,-0.1118,0.0202,0.0159,0.0035
India,0.0895,-0.066,0.0374,0.0645,0.068
Albania,0.0854,-0.0348,0.0209,0.0402,0.038
Estonia,0.0835,-0.0295,0.041,0.0413,0.0579
Greece,0.0834,-0.0902,0.018,0.0167,0.0109
Israel,0.0819,-0.0215,0.0377,0.0398,0.0438
Slovenia,0.0811,-0.0423,0.0325,0.0442,0.0482
China,0.0811,0.0224,0.0595,0.0675,0.0695
Singapore,0.0761,-0.0414,0.011,0.0366,0.0466
Costa Rica,0.0758,-0.0405,0.0242,0.0262,0.0416
Guatemala,0.0753,-0.0152,0.0387,0.0332,0.0308
Kenya,0.0752,-0.0025,0.0511,0.0565,0.0384
United Kingdom,0.0744,-0.0927,0.0167,0.0165,0.0213
Eswatini,0.0743,-0.0185,0.026,0.0238,0.0203
Uzbekistan,0.0742,0.0189,0.0571,0.0536,0.044
Serbia,0.0739,-0.0094,0.0433,0.045,0.021
Morocco,0.0737,-0.0629,0.0261,0.0315,0.0425
Bosnia,0.071,-0.0312,0.0283,0.0374,0.0317
Hungary,0.071,-0.0446,0.0455,0.0536,0.0427
West Bank And Gaza,0.0705,-0.1132,0.0136,0.0123,0.0142
France,0.0696,-0.0786,0.0184,0.0187,0.0229
Cabo Verde,0.0695,-0.1478,0.0567,0.0453,0.037
Bangladesh,0.0694,0.0345,0.0788,0.0732,0.0659
Burkina Faso,0.0691,0.0193,0.0569,0.066,0.062
Luxembourg,0.0689,-0.0178,0.0328,0.02,0.0132
Italy,0.0664,-0.0903,0.005,0.0093,0.0167
Benin,0.066,0.0385,0.0687,0.067,0.0567
St. Lucia,0.066,-0.2037,-0.0006,0.0293,0.035
Dominica,0.0654,-0.166,0.055,0.0355,-0.0662
Hong Kong,0.0642,-0.065,-0.0168,0.0285,0.038
Belgium,0.0624,-0.0568,0.0211,0.0184,0.0162
Bolivia,0.0611,-0.0874,0.0222,0.0422,0.042
Senegal,0.0606,0.0133,0.0461,0.0621,0.0739
Pakistan,0.0603,-0.0133,0.025,0.0615,0.0443
Romania,0.0588,-0.0375,0.0419,0.0447,0.0732
Zimbabwe,0.0585,-0.0625,-0.0614,0.0482,0.0471
Poland,0.0573,-0.0254,0.0475,0.0535,0.0483
Democratic Republic Of Congo,0.0571,0.0174,0.0438,0.0582,0.0373
Philippines,0.057,-0.0952,0.0612,0.0634,0.0693
Armenia,0.057,-0.074,0.076,0.052,0.075
United States,0.0567,-0.034,0.0229,0.0292,0.0226
Ethiopia,0.0564,0.0606,0.0836,0.0682,0.0956
Gambia,0.0563,-0.002,0.0622,0.0723,0.0482
Azerbaijan,0.056,-0.043,0.025,0.015,0.002
Cyprus,0.0551,-0.0498,0.0528,0.0569,0.0585
Ghana,0.0536,0.0051,0.0651,0.062,0.0813
Grenada,0.0532,-0.1376,0.0068,0.0436,0.0444
Antigua And Barbuda,0.0527,-0.2019,0.0486,0.0688,0.0314
Togo,0.0526,0.0175,0.0546,0.0498,0.0435
Spain,0.0513,-0.1082,0.0209,0.0229,0.0297
Netherlands,0.0504,-0.038,0.0196,0.0236,0.0291
Lithuania,0.05,-0.0013,0.0457,0.0399,0.0428
South Africa,0.0491,-0.0643,0.0011,0.0149,0.0116
Portugal,0.0488,-0.0844,0.0268,0.0285,0.0351
Russia,0.0482,-0.0268,0.022,0.0281,0.0183
Sweden,0.048,-0.0294,0.0199,0.0195,0.0257
Mexico,0.048,-0.0817,-0.0019,0.022,0.0211
Denmark,0.0469,-0.0206,0.0211,0.0199,0.0282
New Zealand,0.0465,-0.0125,0.0219,0.0336,0.0358
Brazil,0.0462,-0.0388,0.0122,0.0178,0.0132
Jamaica,0.046,-0.1,0.0089,0.0189,0.01
Canada,0.0456,-0.0523,0.0188,0.0278,0.0304
Austria,0.0448,-0.0673,0.0149,0.025,0.0226
Latvia,0.0448,-0.0377,0.0248,0.0399,0.0331
Madagascar,0.044,-0.0714,0.044,0.032,0.0393
Timor-Leste,0.044,0.1037,0.1954,-0.0069,-0.0307
Uruguay,0.0437,-0.0612,0.0035,0.0048,0.0163
Djibouti,0.0431,0.012,0.0555,0.0477,0.0546
Tanzania,0.0428,0.02,0.058,0.0545,0.0679
Nepal,0.0425,-0.0237,0.0666,0.0762,0.0898
Ecuador,0.0424,-0.0779,0.0001,0.0129,0.0237
Paraguay,0.042,-0.0082,-0.004,0.032,0.0481
Bulgaria,0.0418,-0.0439,0.0404,0.0268,0.0276
Mauritius,0.0404,-0.1489,0.0301,0.0376,0.0381
South Korea,0.0402,-0.0085,0.0224,0.0291,0.0316
Liberia,0.04,-0.0298,-0.0247,0.0116,0.0246
Kazakhstan,0.04,-0.025,0.045,0.041,0.041
North Macedonia,0.0396,-0.0611,0.0391,0.0288,0.0108
Norway,0.0392,-0.0072,0.0075,0.0112,0.0232
Algeria,0.0385,-0.051,0.01,0.011,0.013
Guinea-Bissau,0.038,-0.024,0.045,0.0128,0.0592
Iceland,0.037,-0.065,0.0243,0.0489,0.0419
Switzerland,0.0369,-0.0239,0.0121,0.0292,0.0158
Indonesia,0.0369,-0.0207,0.0502,0.0517,0.0507
Sri Lanka,0.0366,-0.0362,0.0233,0.0327,0.0358
Nigeria,0.0365,-0.0179,0.0221,0.0192,0.0081
Kyrgyz Republic,0.0361,-0.084,0.046,0.0376,0.0474
Zambia,0.0357,-0.0279,0.0144,0.0403,0.035
Cameroon,0.0349,0.0049,0.0348,0.0396,0.0354
Finland,0.0347,-0.023,0.0122,0.0114,0.0319
Ukraine,0.034,-0.0375,0.032,0.0349,0.0236
Uganda,0.0338,0.0295,0.0644,0.063,0.0313
Tunisia,0.0334,-0.0874,0.0132,0.0262,0.0224
Czech Republic,0.0334,-0.058,0.0303,0.032,0.0517
Somalia,0.0333,0.0244,0.0808,0.0768,0.0259
Egypt,0.0333,0.0357,0.0556,0.0531,0.0418
Saudi Arabia,0.0324,-0.0414,0.0033,0.0251,-0.0074
Malaysia,0.0313,-0.0565,0.0444,0.0484,0.0581
Guinea,0.0312,0.0464,0.0562,0.0636,0.103
Mali,0.0307,-0.0124,0.0476,0.0475,0.0531
Sierra Leone,0.0305,-0.0197,0.0525,0.0346,0.0419
Cambodia,0.0303,-0.031,0.0705,0.0747,0.07
Slovak Republic,0.0302,-0.0436,0.0261,0.0379,0.0298
Tuvalu,0.0299,0.0152,0.1379,0.0175,0.0179
Germany,0.0289,-0.0457,0.0106,0.0109,0.0268
Iraq,0.0278,-0.1132,0.0551,0.0263,-0.0182
Malawi,0.0275,0.008,0.0545,0.0439,0.04
Vietnam,0.0259,0.0294,0.0715,0.072,0.0694
Lao PDR,0.0253,0.005,0.0546,0.0625,0.0689
Belarus,0.0251,-0.009,0.014,0.0315,0.0253
Namibia,0.0243,-0.0787,-0.0092,0.0106,-0.0103
Comoros,0.0235,-0.0029,0.0176,0.0364,0.0382
Mauritania,0.023,-0.0176,0.0576,0.0453,0.0627
Bahrain,0.0223,-0.0494,0.0217,0.0211,0.0429
Mozambique,0.0222,-0.0123,0.0231,0.0344,0.0374
Jordan,0.0221,-0.0155,0.0196,0.0193,0.0209
Turks And Caicos Islands,0.021,-0.2678,0.0532,0.0561,-0.0249
Bermuda,0.0185,-0.0685,0.0031,-0.0043,0.0361
Seychelles,0.0185,-0.0772,0.0309,0.032,0.0451
Sao Tome And Principe,0.018,0.0309,0.0221,0.0295,0.0385
Burundi,0.018,0.0033,0.0181,0.0161,0.005
Japan,0.0162,-0.0451,-0.0024,0.0058,0.0168
Thailand,0.0157,-0.062,0.0215,0.0422,0.0418
Qatar,0.0152,-0.0364,0.0077,0.0123,-0.015
Gabon,0.0151,-0.0184,0.0392,0.0084,0.0047
Papua New Guinea,0.015,-0.035,0.0448,-0.0028,0.0353
Nauru,0.015,0.0115,0,0.061,-0.0575
Australia,0.0148,0,0.0211,0.0287,0.023
